8,26
29,26
63,21
95,10
7,3
34,5
3,44
29,46
67,46
4,63
23,65
46,65
72,60
88,55
106,49
22,108
39,113
77,118
16,137
39,142
63,142
33,284
8,365
19,330
100,142
109,119
125,74
137,45
159,1
175,6
188,13
205,15
160,54
176,54
204,61
230,23
252,30
233,62
252,68
269,37
283,41
316,32
284,18
327,4
333,13
337,26
364,17
383,25
393,5
402,32
389,61
383,56
371,45
360,91
375,117
347,76
334,60
343,45
327,75
333,100
344,116
325,126
312,86
279,72
275,98
273,113
293,113
296,132
269,133
225,114
202,120
175,117
150,118
162,89
184,92
139,119
154,119
110,118
97,141
344,159
322,159
312,197
297,153
288,192
337,205
342,186
335,215
332,226
282,204
267,200
266,233
296,224
303,245
286,254
264,257
262,271
288,279
315,279
325,291
338,304
299,299
262,298
219,300
225,271
225,254
226,233
225,210
229,184
229,165
265,165
263,188
190,234
159,230
161,211
187,211
191,182
159,185
166,161
191,162
196,140
167,140
145,183
146,201
125,198
134,185
116,178
92,184
87,211
120,226
117,249
83,228
59,220
52,254
78,265
112,269
137,253
124,288
157,294
151,259
190,272
184,293
222,295
79,285
49,335
34,335
54,306
110,306
120,306
164,306
186,309
221,311
260,312
298,316
299,332
263,331
263,343
301,348
293,370
264,364
230,362
225,347
184,357
185,343
185,327
163,327
155,344
154,366
184,371
228,373
262,373
295,373
113,364
111,337
92,341
82,355
69,339
65,365
53,365
51,342
25,337
95,314
8,393
25,393
45,393
10,408
15,410
35,412
51,412
64,412
95,412
117,415
129,415
124,429
114,489
130,495
125,512
95,515
104,483
91,485
78,483
58,506
62,477
39,473
31,500
18,466
9,463
29,524
33,498
52,537
57,514
84,534
98,539
81,554
52,537
20,547
48,579
93,564
50,575
70,596
101,571
88,600
97,608
116,578
122,589
106,621
144,596
128,628
141,635
159,606
151,678
160,672
171,666
180,643
137,640
169,697
189,682
196,666
202,656
196,627
199,612
238,613
248,590
249,579
207,596
204,584
232,567
244,561
230,546
224,552
198,567
190,556
213,531
204,510
216,512
225,533
228,541
244,541
234,517
221,508
229,489
253,500
245,517
256,521
271,501
274,478
256,482
299,474
285,437
275,448
259,456
246,466
233,462
241,454
252,444
270,438
282,429
267,402
252,409
245,417
227,426
210,439
182,432
182,419
209,415
181,394
219,401
151,391
152,378
127,687
93,689
88,682
108,655
79,673
44,682
62,663
56,633
50,651
35,671
40,649
50,636
42,628
29,618
27,643
36,668
6,668
6,646
11,609
1,570
28,590
220,660
480,39
483,69
468,72
469,97
487,97
508,91
509,122
493,125
489,106
479,127
465,130
445,136
447,149
451,164
469,157
496,154
521,148
427,166
407,203
426,203
451,198
472,191
501,186
520,182
527,206
505,212
480,220
457,219
434,226
412,231
396,232
382,268
399,262
418,262
434,256
460,251
482,246
510,243
531,239
540,264
514,271
489,275
466,282
421,290
375,302
359,329
378,331
392,325
403,323
425,321
444,316
468,312
493,307
519,302
523,331
500,335
469,342
444,345
431,348
405,354
380,348
357,348
379,384
351,384
395,383
410,380
451,375
477,370
507,365
528,361
556,355
556,381
533,387
501,391
480,398
451,398
409,398
418,434
391,431
367,412
419,452
457,449
482,441
481,426
510,422
539,418
561,444
545,453
510,455
474,470
451,479
362,438
377,440
380,460
359,467
336,431
322,508
340,492
337,512
357,516
380,520
419,525
442,535
422,499
390,489
362,483
443,561
416,554
368,546
356,542
335,537
319,536
434,589
410,582
383,576
360,570
302,585
326,590
354,599
382,604
405,610
426,614
423,641
401,635
398,625
376,622
356,615
334,614
326,610
319,635
327,637
309,645
322,656
339,665
361,678
387,687
417,673
351,697
330,684
300,668
278,654
263,685
278,695
435,697
435,679
452,591
452,562
578,676
552,589
537,556
559,511
544,516
566,455
505,36
527,17
533,83
512,91
559,72
522,124
542,119
569,112
590,103
606,90
622,73
646,59
664,41
683,20
644,6
617,17
595,34
581,44
568,54
552,19
569,1
549,143
573,137
599,136
537,179
550,176
579,169
597,167
609,194
580,200
553,206
534,207
543,236
559,233
587,228
611,222
612,249
586,252
564,260
639,244
636,215
636,189
627,153
666,235
696,230
718,226
716,198
688,202
662,213
658,183
681,176
710,168
735,162
731,134
707,135
679,149
653,156
627,159
626,134
646,123
671,117
673,129
687,103
696,94
716,79
659,85
654,78
670,50
649,62
639,102
627,81
607,88
584,45
594,38
617,18
642,7
657,32
684,17
672,3
715,26
745,15
713,2
740,1
768,8
776,35
753,64
788,55
759,94
729,104
733,120
772,209
768,185
792,180
799,207
830,169
829,148
801,138
821,120
799,92
846,80
894,98
884,139
885,153
864,163
864,176
891,173
895,184
871,192
910,180
914,171
914,152
915,126
887,121
891,153
914,106
895,98
903,67
916,67
916,105
933,111
932,73
955,85
957,121
963,139
969,162
899,39
908,31
908,13
908,10
895,8
887,8
878,2
887,34
903,28
811,23
851,12
